West Jungle    North Jungle    South Jungle    East Jungle
 1680 5700       7300 8140       4900 4300     12550 3150
 4050 5000      10000 10750      7443 6800     13100 9400
 6500 7367       9250 13400     11650 2300     10750 10050
 1900 11550      3200 13100      5700 1700      8257 7600


  NW River        SE River
 1900 11550      7443 6800
 6500 7367      11650 2300
 7300 8140      12550 3150
 3200 13100      8257 7600


Blue TopLane    Blue MidLane    Blue BotLane
 1680 5700       7850 7200        5700 1700
    0 5700       6900 7754        5700 0
    0 15000      4050 5000       14800 0
 2550 12325      4900 4300       12100 2725

 Red TopLane     Red MidLane     Red BotLane
 9250 13400       7850 7200       13100 9400
 9250 15000       6900 7754       14800 9400
    0 15000     10000 10750      14800 0
 2550 12325     10750 10050      12100 2725
